Title,Authors,Vienna Researchers,Journal,DOI,Domain,Field,OA Status,Cited By,Date,Abstract
Dynamics of biotic resistance to plant invasions,"Sheppard, Brian, Dawson et al.",Franz Essl (Universität Wien),Biological reviews/Biological reviews of the Cambridge Philosophical Society,https://doi.org/10.1002/brv.70190,Physical Sciences,Environmental Science,hybrid,0,2026-06-03,"Biotic resistance, the reduction in invasion success caused by native communities, plays an important role in the long-term dynamics of biological invasions. A large body of empirical research on biotic resistance has accumulated since the last comprehensive review on the subject 20 years ago, enabling us to achieve a refined understanding of biotic resistance and its dynamics. Here, we aim to reshape research on biotic resistance to alien plant invasions by (i) synthesizing existing evidence on biotic resistance and (ii) exploring the so far rarely considered interplay between biotic resistance mechanisms (i.e. competition, aboveground and belowground antagonisms, and diversity-invasibility effects) and the potential eco-evolutionary changes in biotic resistance over time. To address the first aspect, we conducted a global meta-analysis of 240 experimental studies to assess the mechanisms by which and the extent to which biotic resistance of native communities affects the performance of alien plant species. We show that competition with native plant species, aboveground antagonism (e.g. herbivores) and diversity-invasibility effects significantly reduced alien plant performance, whereas there was no evidence for consistent effects of belowground antagonism (e.g. soil pathogens). Competition exerted the strongest biotic resistance, followed by aboveground antagonism. However, the strength of biotic resistance also depended on the alien plant performance measure considered (vegetative performance, survival, reproductive performance, or population growth). From the small set of studies that considered more than one biotic resistance mechanism, we did not detect an overall synergistic effect of combined mechanisms. The meta-analysis results also revealed that biotic resistance first decreased with the residence time of the alien plant species but increased again after approximately 200 years. In a subset of studies directly comparing species of different origin, we did not detect a difference in biotic resistance to alien versus native species. To address the second aspect, we expanded the limited empirical evidence on temporal dynamics by presenting a conceptual causal network and an accompanying mathematical model to explore the eco-evolutionary dynamics of biotic resistance mechanisms. Our conceptual and mathematical models highlight that biotic resistance is determined by both the attributes of the alien species (i.e. invasiveness) and of the recipient community (i.e. invasibility). Both factors can change over time as inter- and/or intraspecific selection cause changes in the composition and overall density of the native community and the alien species. As invaders evolve and the successful ones persist, biotic resistance initially decreases, then increases again due to intra- and interspecific adaptation of the native community. Using the findings from the comprehensive synthesis of empirical studies and our modelling approach, we highlight research avenues to better understand the temporal dynamics of biotic resistance to plant invasions, including how biotic resistance depends on multiple mechanisms and performance measures, how it may differently affect alien versus native species and crucially, how it changes over time."
"Fluctuations in direct human presence, not predictable weekly cycles, influence avoidance behaviour in ravens","Jain, Loretto, Bugnyar et al.",Varalika Jain (Universität Wien); Matthias-Claudio Loretto (BOKU); Thomas Bugnyar (Universität Wien); Petra Sumasgutner (Universität Wien),Movement Ecology,https://doi.org/10.1186/s40462-026-00671-9,Physical Sciences,Environmental Science,gold,0,2026-06-03,"BACKGROUND: Rhythms in human activity create patterns of opportunities and disturbances for wildlife, influencing their behaviour and spatial ecology. The weekend effect hypothesis posits that weekday-weekend routines in human activity can impact wildlife in creating cyclic conditions. At our study site - an outdoor wildlife park - free-flying ravens opportunistically exploit food intended for captive animals on a routine basis. While disturbances from visitor activity levels are typically low on weekdays and high on weekends, they can also vary day-to-day. Our access to data detailing visitor numbers makes our context well-suited to test whether ravens anticipate and respond to predictable weekday-weekend patterns following (1) a '5 + 2' structure, or if they respond (2) flexibly to fluctuations in direct human activity levels. By testing the weekend effect hypothesis from the perspective of a '5 + 2' pattern versus flexibly responding to fluctuations in human activity, we better understand wildlife response strategies to human activity. METHODS: Using long-term GPS tracking data, we investigated the weekend effect hypothesis by examining raven foraging probability and space use across two temporal scales: (1) daily patterns over five years, encompassing periods of Covid-19 pandemic-related restrictions, and (2) bihourly patterns over six weeks. We hypothesized that increased human activity levels would result in lower foraging probabilities and higher space use in ravens, varying between weekdays and weekends. RESULTS: Our findings provided limited support for the weekend effect hypothesis, considering a '5 + 2' pattern in human activity. However, ravens consistently avoided elevated human activity by decreasing in their probability of foraging at the site and increasing space use on a daily level. CONCLUSIONS: Our study reveals that ravens are behaviourally flexible in their movement responses to disturbance when exploiting anthropogenically created foraging opportunities. Changes influencing anthropogenic resources and disturbances at resources should consider the potential knock-on effects to wildlife."
Creating equal opportunities and inclusivity in Roma education: A case study from Hungary,"Megyeri, Koós, Szilagyi",Zsófia Koós (Universität Wien),Prospects,https://doi.org/10.1007/s11125-025-09751-x,Health Sciences,Health Professions,closed,0,2026-06-03,
Migrant Live‐In Care Workers in the Global Care Chain: Results From an Online Survey,"Wojczewski, Durisova, Pleschberger et al.",Silvia Wojczewski (MedUni Wien); Sabine Pleschberger (MedUni Wien); Kathryn Hoffmann (MedUni Wien); Viktoria Adler (MedUni Wien),Social Inclusion,https://doi.org/10.17645/si.11728,Health Sciences,Health Professions,gold,0,2026-06-03,"High‐income countries are using migrant care workers to address deficiencies in domestic care, thereby creating new care gaps in their countries of origin. Apart from this, care workers often face challenging working conditions in many countries. This article examines the job profile, needs, and training preferences of migrant live‐in care workers in Austria to inform improvements to their working and living conditions. As part of a transdisciplinary project, an online survey was co‐designed with live‐in care workers and CSOs working with care workers. The survey covered four languages (Slovak, Romanian, Bulgarian, and German). Themes included job profile, training requirements, problems encountered, well‐being, health, work breaks, and social contact in Austria. Descriptive analysis was applied using key figures, including mean values and frequency distributions. The results were interpreted by the project team. Two hundred and twenty‐five live‐in care workers completed the survey. The study found that live‐in carers perform numerous additional tasks, some of which make them feel uncomfortable. Some live‐in carers reported experiencing sexual harassment and physical violence, as well as a deterioration in their physical and mental health, since starting work as a live‐in carer. Participants expressed substantial interest in training opportunities, particularly those dealing with difficult situations in the household. There is great potential to improve conditions for live‐in care workers in Austria by providing services in their native languages. This would benefit both live‐in care workers and care recipients and their families. The expectations regarding what live‐in carers are and are not allowed to do should be communicated much more clearly to clients and their families. Furthermore, dependency on brokering agencies could be reduced by introducing a public health official responsible for administering live‐in arrangements as part of official home care in Austria."
Understanding hydrogen permeation in zinc flake coatings for hydrogen embrittlement mitigation,"Feldmann, Mears, Söll et al.",Florian Feldmann (TU Wien); Laura L. E. Mears (TU Wien); Jeremias Söll (TU Wien); Markus Valtiner (TU Wien),npj Materials Degradation,https://doi.org/10.1038/s41529-026-00748-1,Physical Sciences,Materials Science,gold,0,2026-06-03,"Abstract Zinc flake coatings offer a viable alternative to conventional zinc applications like hot-dip galvanizing or electroplating, especially for high-strength steels prone to hydrogen embrittlement. Unlike electroplated coatings, they do not generate hydrogen during application, providing cathodic protection without compromising safety. However, under real-world conditions, hydrogen uptake can still occur due to corrosion processes, as for all zinc systems. This study examines the hydrogen permeation behavior of zinc flake-coated interstitial-free steel. Comparative analyses are conducted on two different zinc flake coatings containing either pure Zn flakes or alloyed ZnAlMg flakes, with a focus on their characteristics regarding corrosion-induced hydrogen permeation. Electrochemical techniques, including linear sweep voltammetry, and permeation tests using a Devanathan-Stachurski cell, are carried out to evaluate permeation behavior and calculate the diffusion coefficients of the coated and uncoated steel samples. Experimental data were compared and fit with a constant flux and a constant concentration boundary condition. The alloyed ZnAlMg flake system shows higher permeation than the Zn flakes at the same hydrogen generation current. Both have a lower overall diffusion coefficient during hydrogen generation than the bare steel, with the Zn flake system exhibiting the lowest. The findings contribute to a deeper understanding of the influencing factors of corrosion-induced hydrogen permeation mechanisms in zinc flake-coated steel. This knowledge facilitates the optimization and development of zinc flake systems tailored to minimize hydrogen permeation risks while maintaining superior corrosion resistance."
Maximal Dissipation and Well-Posedness of the Euler System of Gas Dynamics,"Feireisl, Jüngel, Lukáčová-Medvid’ová",Ansgar Jüngel (TU Wien),Archive for Rational Mechanics and Analysis,https://doi.org/10.1007/s00205-026-02205-4,Physical Sciences,Mathematics,hybrid,0,2026-06-03,"Abstract We show that any dissipative (measure–valued) solution of the compressible Euler system that complies with Dafermos’ criterion of maximal dissipation is necessarily an admissible weak solution. In addition, we propose a simple, at most two-step, selection procedure to identify a unique semigroup solution in the class of dissipative solutions to the Euler system. Finally, we introduce a refined version of Dafermos’ criterion yielding a unique solution of the problem for any finite energy initial data."
"Characterization of HER2 Expression Levels, Including HER2-Ultralow, in a Retrospective Male Breast Cancer Cohort","Marhold, Binder, Bago-Horvath et al.",Maximilian Marhold (MedUni Wien); Alexa Binder (MedUni Wien); Z Bago-Horvath (MedUni Wien); Stefan Konrad (MedUni Wien) …,Life,https://doi.org/10.3390/life16060947,Health Sciences,Medicine,gold,0,2026-06-03,"Purpose: Male breast cancer (maleBC) is an orphan disease. Aside from age, risk factors include genetic mutations and conditions like Klinefelter syndrome or other reasons of hypogonadism. Treatment is based on standards in women, but biological differences may exist, with maleBC exhibiting higher rates of hormone-receptor expression. Limiting data exists regarding the rate of low/ultralow HER2 expression, a predictive biomarker for the antibody–drug conjugate (ADC) trastuzumab deruxtecan (T-DXd) in HER2-negative disease in women. Materials and Methods: We conducted a retrospective single-center analysis of clinicopathological features of maleBC at a tertiary cancer center. We identified a cohort of 57 maleBC patients, described demographic, pathological, prognostic and surgical and systemic treatment data and evaluated frequencies of low and ultralow HER2 expression. Results: The mean age was 64.3 (SE ± 1.79) years; 94.7% (n = 54) of patients presented with early/nonmetastatic breast cancer and 40.7% (22 of 54) of patients exhibited nodal involvement. Most patients (92.6%, 50 of 54 patients) had luminal disease and approximately one third of patients received chemotherapy. Endocrine therapy was administered in 87.7% (n = 50/57) of cases. For 52 of the patients included, full receptor status data including HER2 IHC scoring and/or histological specimens were available. IHC slides of tumor specimens from 24 patients with either historically reported “HER2 negative” or “HER2 0” expression were available for reassessment; 79.2% (n = 19 of 24) of these tumors exhibited either HER2-low or -ultralow expression. In the whole cohort, rates of HER2-low and -ultralow expression were 75.0% (39 of 52) and 5.8% (3 of 52 patients), respectively. The median follow-up was 7 years. Six deaths occurred in the total population (n = 57). The median event-free survival (EFS) was 8.39 years (95% CI 7.36–11.35). No statistically significant associations were observed between HER2 expression categories and clinicopathological variables including grade, ER status, nodal status, genetic variant status, age, Ki67 index, or overall survival events. Conclusions: In this cohort of maleBC patients, high rates of combined HER2-low and -ultralow expression were observed upon reassessment of tumors with historically negative HER2 status, shedding light on potential ADC eligibility in male breast cancer."
Comparison of volume‐ and surface‐based magnetic resonance imaging morphometry algorithms in the detection of focal cortical dysplasia,"Bucheler, Reisert, Demerath et al.",Florian Mayer (MedUni Wien),Epilepsia,https://doi.org/10.1002/epi.70326,Health Sciences,Medicine,hybrid,0,2026-06-03,"OBJECTIVE: Detection of focal cortical dysplasia (FCD) remains a major challenge in presurgical epilepsy diagnostics. Magnetic resonance imaging (MRI) morphometry increasingly improves lesion detection and postsurgical outcomes. The volume-based Morphometric Analysis Program, version 2018 (MAP18) with integrated artificial neural network and surface-based Multi-centre Epilepsy Lesion Detection (MELD; MELD Graph) MRI morphometry algorithms have demonstrated diagnostic utility, but their performance has not been directly compared within a single cohort of surgically treated patients with histopathologically confirmed FCD. METHODS: We retrospectively analyzed 3-T MRIs of 32 FCD patients who underwent epilepsy surgery. MAP18 was applied to MP2RAGE (magnetization-prepared 2 rapid gradient echo) sequences and MELD to T1MPRAGE (magnetization-prepared rapid gradient echo) and three-dimensional FLAIR (fluid-attenuated inversion recovery) sequences. Binary lesion masks served as ground truth for evaluating detection accuracy, precision, and recall at cluster and voxel levels. Clinical correlation analysis assessed spatial concordance with seizure onset zone (SOZ) and irritative zone (IZ) from video-electroencephalography (EEG) and postoperative outcome. RESULTS: The cohort included 34 histopathologically proven FCD lesions (91.2% FCD II, 5.8% mild malformation of cortical development, 2.9% unspecified). MELD identified 32 of 34 lesions (94.1%), and MAP18 identified 33 of 34 lesions (97.1%), with concordance in 32 of 34 lesions (94.1%). At the cluster level, MELD showed significantly higher precision (p < .001) and fewer false positive clusters per patient (median 0 vs. 3, p < .001). Voxelwise analysis revealed that MELD demonstrated significantly higher precision than MAP18 (.42 vs. .13, p < .0001) and recall (.44 vs. .23, p < .01). Lobar concordance with SOZ reached 90.6% and with IZ reached 87.5%. Among invasive EEG patients, overlap with SOZ and IZ was 100%. Seizure freedom (Engel I) was achieved in 87.5% of patients. SIGNIFICANCE: Under standardized high-resolution 3-T MRI, both algorithms achieved high detection rates with strong concordance. Combined application may enhance presurgical lesion detection, with results limited to surgically treated patients."
Defining Potential Neurovascular Risk Zones in Superficial Plantar-Medial Release: An Anatomical Study,"Mandler, Düzgün, Mittendorfer et al.",Elisabeth M. Mandler (MedUni Wien); Zehra Düzgün (MedUni Wien); Johannes M. Mittendorfer (MedUni Wien); Jakob R. Altmann (MedUni Wien) …,Journal of Personalized Medicine,https://doi.org/10.3390/jpm16060302,Health Sciences,Medicine,gold,0,2026-06-03,"Background: The superficial plantar-medial release (S-PMR) refers to a group of surgical procedures involving the release of the plantar aponeurosis and adjacent medial plantar soft tissues that are used in selected cases of plantar fasciitis and cavovarus foot deformity. The procedure aims to address pain and contracture of the plantar aponeurosis and intrinsic foot muscles, which may contribute to pathological foot alignment and gait instability. Due to the close proximity of highly variable neurovascular structures in the plantar region, precise anatomical knowledge and a patient-specific, personalized approach are essential to reduce the risk of iatrogenic injury during surgery. This study defined procedure-specific anatomical “low-risk” and “high-risk” zones. Methods: From the initial forty-two included feet, one specimen was excluded due to insufficient tissue quality, leaving forty-one specimens for analysis. The plantar aponeurosis, origins of the abductor hallucis muscle and regional neurovascular structures were analyzed. Distances between key landmarks were measured. Results: Abductor hallucis origins I and IV were present in all specimens, while origins II and III showed variable presence. Subdivision of muscle origin I was observed and was associated with the course of the medial calcaneal nerve. The medial calcaneal nerve demonstrated the closest proximity to origin I (3.2 mm) whereas both the medial and lateral plantar nerves showed close proximity to origin II (3 mm and 5.3 mm). Conclusion: Significant interindividual variability exists in the plantar region, highlighting the need for a personalized, anatomy-based approach for patients considered for surgical intervention. Anatomical “high-risk” zones were identified between origin I and the medial calcaneal nerve and near origin II by the bifurcation of the tibial nerve and posterior tibial artery. Anatomical “low-risk” zones were defined as dorsal regions at the calcaneus between origin I and the tibial neurovascular bundle, as well as medial areas near the malleolus."
"FAPI PET/CT in post-PCI coronary disease: in-stent restenosis characterization, MACE association, and limited short-term modulation by lipid-lowering therapy: FAPI athero trial","Shi, Wang, Zhang et al.",Song Xue (MedUni Wien); M H Hacker (MedUni Wien); Li X (MedUni Wien),European Journal of Nuclear Medicine and Molecular Imaging,https://doi.org/10.1007/s00259-026-07970-8,Health Sciences,Medicine,closed,0,2026-06-03,
From Genes to Proteins: The Indispensable Role of Proteogenomics in Advancing Clear Cell Renal Cell Carcinoma Research,"Kasperczak, Pawłowska-Kasperczak, Szuścik et al.",Paweł Rajwa (MedUni Wien),International Journal of Molecular Sciences,https://doi.org/10.3390/ijms27115054,Health Sciences,Medicine,gold,0,2026-06-03,"Clear cell renal cell carcinoma (ccRCC) is characterized by a complex molecular landscape driven by recurrent genetic alterations. While genomic and transcriptomic profiling have identified core drivers, they often fail to provide robust biomarkers due to the significant decoupling of mRNA and protein levels, as well as the critical role of post-translational modifications in tumor biology. This review synthesizes current evidence from landmark proteogenomic initiatives, such as the Clinical Proteomic Tumor Analysis Consortium (CPTAC), and independent multi-omic studies. It evaluates the integration of genomic, transcriptomic, and proteomic data to map metabolic reprogramming, signalling pathway activity, and chromatin-level alterations in ccRCC. Proteogenomic analyses reveal that protein-level data provide a functional perspective that is missing from sequencing alone, specifically identifying suppressed oxidative phosphorylation, enhanced glycolysis, and the activation of the PI3K/AKT/mTOR cascade, independent of genetic mutations. Furthermore, proteogenomics has defined novel molecular subtypes and individual protein biomarkers, such as UCHL1 and p-mTOR, which correlate more accurately with clinical outcomes and therapeutic responses than their transcriptomic counterparts. Proteogenomics is a crucial tool for refining disease taxonomy and identifying novel therapeutic vulnerabilities in ccRCC. By bridging the gap between genotype and functional phenotype, this integrated approach facilitates more precise risk stratification and accelerates the development of personalized medicine through better-informed selection of targeted and immune-based therapies."
Impact of real-world confounders on the accuracy of an AI model to support read out of skin prick automated test results.,"Seys, Roux, Hox et al.",K Roux (MedUni Wien),PubMed,https://doi.org/10.4193/rhin25.634,Health Sciences,Medicine,closed,0,2026-06-03,"Skin prick testing (SPT) is the gold standard for diagnosing allergic sensitization in individuals with a suspected airborne allergy (1). Skin tests are used as first option in 90% of individuals suffering from respiratory allergies and almost two-third of all types of allergies (2). However, its accuracy highly depends on the operator, causing variability during pricking and readout. S.P.A.T. or skin prick automated test standardises the SPT procedure and has been clinically validated (3)."
Limits of Artificial Intelligence Models for Skin Cancer Diagnosis in Realistic Settings,"Anriot, Yan, Coste et al.",Philipp Tschandl (MedUni Wien); Harald Kittler (MedUni Wien),JAMA Dermatology,https://doi.org/10.1001/jamadermatol.2026.1492,Health Sciences,Medicine,green,0,2026-06-03,"Importance: Artificial intelligence (AI) systems for skin cancer detection perform well in controlled settings but frequently underperform in everyday clinical practice, raising critical questions about their readiness for deployment. Objective: To compare the diagnostic accuracy of AI algorithms vs human evaluators across varying expertise levels for skin lesion diagnosis, including rare and atypical cases, in a realistic clinical context. Design, Setting, and Participants: This multi-institutional diagnostic study compared diagnostic performance among AI models and physician readers with varying dermatological expertise, ranging from less than 1 year to more than 10 years of experience. A dataset of dermatological images representing everyday clinical scenarios was used and contained 1117 cases, including clinical and dermoscopic images with associated metadata. Study inclusion spanned from March 16, 2023, to August 1, 2025. Exposures: Three AI algorithms: a first-generation convolutional neural network (CNN) and 2 foundation models (PanDerm unimodal and multimodal). Human readers evaluated 100 stratified, random cases drawn from the same dataset. Main Outcomes and Measures: The primary outcome was reader-level multiclass diagnostic accuracy for skin lesion classification. Secondary outcomes were binary benign vs malignant sensitivity, specificity, and balanced accuracy. Performance was compared between AI algorithms and human readers stratified by experience level. Results: A total of 652 physicians (median [IQR] age, 33 [29-37] years; 559 [85.7%] female) contributed to 1092 test iterations. All human readers outperformed the CNN (mean [SD] accuracy, 65.9% [10.5%] vs 56.7% [3.9%]; difference, 9.2 percentage points [pp]; 95% CI, -9.8 to 8.5 pp; P < .001). Unimodal accuracy exceeded readers with less than 3 years of experience (mean [SD] accuracy, 72.2% [3.5%] vs 68.2% [7.6%]; difference, 4.0 pp; 95% CI, 3.2-4.9 pp; P < .001). With a mean (SD) accuracy of 74.2% (5.7%), experts with more than 10 years of experience achieved the highest multiclass diagnostic accuracy, outperforming all AI models on this primary end point, which included 56.7% (3.9%) for CNN, 72.2% (3.5%) for the unimodal model, and 66.3% (3.8%) for the multimodal model. Conclusions and Relevance: In this diagnostic study, a modern foundation model surpassed readers with less than 3 years of experience on accuracy of skin lesion diagnosis and matched those with 3 to 10 years of experience but remained inferior to experts with more than 10 years of experience, highlighting both the promise and current limitations of AI in dermatologic diagnosis."
"User Acceptance of Remote Care Assist, a Telecare System for Home Care Among Care and Nursing Staff: Cross-Sectional Pilot Study","Ebner, Schneider, Schneider et al.",Friedrich Ebner (WU Wien); Ulrike Schneider (WU Wien); Birgit Trukeschitz (WU Wien),JMIR Rehabilitation and Assistive Technologies,https://doi.org/10.2196/80514,Health Sciences,Medicine,gold,0,2026-06-03,"Background: Demographic and epidemiological changes are increasing pressure on health and long-term care systems, underscoring the need for digital innovations. Remote Care Assist is a digital system that enables home care staff to connect with care experts for exchange and support via real-time video calls. Although technology acceptance is crucial for successful implementation, little is known about how care staff's expected benefits for care recipients influence acceptance in professional home care. Objective: This study examined predictors of user acceptance of the Remote Care Assist among home care staff, with a particular focus on the role of staff's expectations of benefits for home care service users. Methods: Technology acceptance data were collected from staff in home care organizations in Austria and Luxembourg. Among 337 survey respondents, 139 participants who reported using Remote Care Assist at least once per month over a period of 5-6.5 months were included in the acceptance analysis (45 care experts and 94 on-site care staff). Partial least squares structural equation modeling was used to test a contextualized technology acceptance model. Results: Technology acceptance was measured by ""Behavioral Intention to Use"" the Remote Care Assist. ""Behavioral Intention to Use"" was positively associated with ""Expected Benefit for Home Care Service Users"" (EBC; β=0.506, 95% CI 0.364 to 0.658; P<.001), ""Perceived Usefulness (PU)"" for care staff (β=0.314, 95% CI 0.151 to 0.460; P<.001), and ""Perceived Ease of Use"" (PEOU; β=0.130, 95% CI 0.038 to 0.231; P=.01). ""EBC"" (β=0.415, 95% CI 0.276 to 0.537; P<.001), ""Perceived Efficiency"" (β=0.396, 95% CI 0.267 to 0.531; P<.001), and ""PEOU"" (β=0.170, 95% CI 0.083 to 0.266; P=.001) were positively associated with ""PU"" for care staff. ""PU"" also positively mediated the associations of ""EBC"" (β=0.130, 95% CI 0.061 to 0.194; P=.001) and ""PEOU"" (β=0.053, 95% CI 0.017 to 0.101; P=.02) with ""Behavioral Intention to Use."" ""Reliable Functionality"" was not significantly associated with ""PU."" Conclusions: This study suggests that the technology acceptance of a digital system for enhancing professional exchange between different staff groups in home care is shaped not only by established predictors of acceptance, such as PU and PEOU, but also by a currently neglected predictor, namely care staff's expectations that the technology will benefit home care service users, which plays an important role in technology acceptance. In addition to usability and workflow support, successful implementation strategies for digital technologies should clearly communicate the technology's potential benefits for care staff, care service users, and the broader care ecosystem."
What is the best surgical approach for Pineal Region Tumors? A systematic literature review and anatomical comparative study,"Palombi, Agostini, Brancaleone et al.",Lena Hirtler (MedUni Wien),Child s Nervous System,https://doi.org/10.1007/s00381-026-07336-3,Health Sciences,Medicine,hybrid,0,2026-06-03,"PURPOSE: Pineal region tumors pose significant surgical challenges due to their deep location and proximity to critical neurovascular structures. Despite multiple described techniques, no consensus exists on the optimal surgical approach, with the supracerebellar infratentorial (SCIT) and occipital interhemispheric transtentorial (OITA) approaches representing the most adopted corridors. METHODS: A systematic literature review was conducted to evaluate surgical approaches for pineal region tumors and their associated complication profiles. In addition, anatomical dissections combined with a tumor simulation technique were used as illustrative tools to compare exposure patterns obtained through SCIT, SCIT with tentorial incision (SCIT + T), and OITA approaches. RESULTS: The systematic review, comprising 27 studies and 1774 patients, identified OITA (42.21%) and SCIT (38.27%) as the most frequently employed approaches. SCIT was more commonly associated with cerebellar complications, cerebrospinal fluid leaks, meningitis, and Parinaud's syndrome (p < 0.005), whereas OITA was associated with a higher incidence of homonymous hemianopia (p = 0.0011). From an anatomical perspective, infratentorial approaches provided broader exposure of the inferior quadrants (Q1, Q2), while OITA offered greater visualization of the superior ipsilateral quadrant (Q3). The addition of a tentorial incision to SCIT facilitated visualization of supratentorial quadrants (Q3, Q4), which are otherwise less accessible through the standard infratentorial corridor. Tumor simulations further illustrated that approach selection is influenced by the tumor's relationship to the deep venous system, with supratentorial routes favoring lesions anterior to the veins and infratentorial corridors favoring posterior extension. CONCLUSIONS: Selection between SCIT and OITA should be individualized based on tumor characteristics, venous relationships, and tentorial anatomy. Tentorial incision may expand the versatility of SCIT in selected cases."
p62 cleavage: a species-specific twist in TNF signalling,"Troitskaya, Nössing, Ryan",Christoph Nössing (MedUni Wien),Autophagy,https://doi.org/10.1080/15548627.2026.2684606,Health Sciences,Medicine,closed,0,2026-06-03,. These findings identify p62 cleavage as a key regulator linking autophagy to TNF-driven inflammatory cell death and highlight an important species-specific difference that may influence the interpretation of inflammatory disease models.
Deletion of neurosecretory proteins GL and GM drives dual anti-obesity effects via appetite suppression and enhanced energy expenditure,"Shikano, Yoshimura, Yahiro et al.",Josef M. Penninger (OeAW; MedUni Wien),Communications Biology,https://doi.org/10.1038/s42003-026-10405-7,Life Sciences,Neuroscience,gold,0,2026-06-03,"Obesity results from an imbalance between energy intake and expenditure and is regulated by hypothalamic neuropeptide systems. The neurosecretory proteins GL (NPGL) and GM (NPGM) are expressed in the hypothalamus and promote feeding in gain-of-function studies; however, their endogenous physiological roles remain unclear. Here, we show that mice lacking both NPGL and NPGM display a lean phenotype driven by reduced food intake and increased energy expenditure. This anti-obesity phenotype is associated with increased expression of anorexigenic pro-opiomelanocortin in the hypothalamus and enhanced thermogenic activity in brown adipose tissue, marked by elevated uncoupling protein 1. Consistent with these findings, suppression of NPGL/NPGM signaling reduces feeding and alters sympathetic nerve activity. In addition, genome-wide association analysis identifies an obesity-associated variant near the human NPGM locus, suggesting relevance to human energy balance. Together, these findings identify NPGL and NPGM as endogenous regulators of energy homeostasis with potential relevance to obesity."
"Code and Data for Article ""Journal Research Data Policies in Materials Science"" (Digital Discovery)","Hörmann, Myneni, Al‐Hamd et al.",Lukas Hörmann (Universität Wien),Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.20529190,Other,Other,green,0,2026-06-03,"Open and reproducible research in materials science relies on the availability of data, code, and established metadata standards. Journal research data policies (RDPs) are a primary mechanism by which these community norms are enforced. We survey RDPs for 171 materials science journals spanning 17 publishers, using an expanded coding framework that captures both data-and-code sharing behavior as well as refereeing standards. We find clear signs of progress in comparison to earlier research on RDPs: nearly all journals provide an RDP, and most mention data availability statements. However, enforceable requirements remain uncommon, public deposition of underlying data is rarely mandatory, and FAIR publication is typically encouraged rather than required. Expectations for research software are substantially less developed than those for data, with limited attention to versioning and persistent identifiers, dependency disclosure, reproducible execution environments, or software quality practices. Aggregating the findings on policy features into an open research data score reveals pronounced heterogeneity across journals. Neither impact factor nor access model reliably predicts policy strength. Double-coding further shows that more complex policies and stricter policies can be more challenging to interpret consistently, and we highlight challenges in consistent RDP encoding across studies. Lastly, we conclude with recommended best practice directions for the future."
Comment on egusphere-2026-975,"Hohensinn, Gou, Meyer et al.",Wouter Dorigo (TU Wien); Alexander Gruber (TU Wien),?,https://doi.org/10.5194/egusphere-2026-975-rc1,Other,Other,gold,0,2026-06-03,"<strong class=""journal-contentHeaderColor"">Abstract.</strong> The Global Gravity-based Groundwater Product (G3P) provides observations of global groundwater storage (GWS) variations, calculated from GRACE/-FO-derived terrestrial water storage (TWS) by subtracting the contributions of root zone soil moisture, glaciers, surface water storage, and snow water equivalent. As such, G3P provides the first globally consistent, publicly available groundwater dataset from satellite gravimetry for continental-scale trend assessment. Such data are a crucial observational constraint for assessing global groundwater depletion, recharge, and water storage trends related to climate change and human activities. A challenge is the reliable separation and quantification of long-term trends from stochastic signals attributable to natural climate variability (&ldquo;climate noise&rdquo;) and observational system errors. To address this, we introduce a trend-analysis framework that uses calibrated time-series models to account for trends, seasonal, and stochastic variations. The approach requires minimal assumptions about underlying processes and enables the separation of significant long-term trends of GWS and TWS from stochastic variability. Applying this framework to 21.5 years of data, our results show (1) that groundwater depletion dominates freshwater decline at continental scales &ndash; most prominently in Asia (-55 km<sup>3</sup> yr<sup>-1</sup>) &ndash; whereas ice mass loss remains the largest global contributor by component, and (2) reveal previously unobserved trends, including increasing groundwater storage in large parts of Africa (+37 km<sup>3</sup> yr<sup>-1</sup>) and declining trends attributed to droughts, e.g., in Southern Africa, Asia, and parts of Europe. Our global aggregation of statistically significant trends indicates net volumetric GWS changes of -27 km<sup>3</sup> yr<sup>-</sup><sup>1</sup> and TWS changes of -145 km<sup>3</sup> yr<sup>-</sup><sup>1</sup> (excluding Antarctica and Greenland). We also find that many regions in the Northern Hemisphere are prone to climate-induced drying, with parts of Europe close to persistent long-term groundwater decline."
